link ,Filename,konsentrasi (pppm),Rasio volume logam : pigmen (mL),temperatur,watu reaksi (menit),Background,Light type,Jarak (cm),device,ISO,Aperture f/number,Shutter speed,notes,mean_R,mean_G,mean_B
"0,1cu_H.jpg","0,1cu_H.jpg",0.1,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,206.42222222222222,185.52777777777777,198.82777777777778
"0,1cu_P.jpg","0,1cu_P.jpg",0.1,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.55555555555554,175.47222222222223,188.51111111111112
"0,2cu_H.jpg","0,2cu_H.jpg",0.2,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.0,179.2277777777778,192.05
"0,2cu_P.jpg","0,2cu_P.jpg",0.2,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,183.09444444444443,163.91666666666666,174.92222222222222
"0,3cu_H.jpg","0,3cu_H.jpg",0.3,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,203.40555555555557,182.4,194.8388888888889
"0,3cu_P.jpg","0,3cu_P.jpg",0.3,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,179.83333333333334,162.1,172.62777777777777
"0,4cu_H.jpg","0,4cu_H.jpg",0.4,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,208.55555555555554,191.9111111111111,201.53333333333333
"0,4cu_P.jpg","0,4cu_P.jpg",0.4,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,196.79444444444445,178.02777777777777,187.43333333333334
"0,5cu_H.jpg","0,5cu_H.jpg",0.5,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,206.77777777777777,190.25555555555556,198.7277777777778
"0,5cu_P.jpg","0,5cu_P.jpg",0.5,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,185.60555555555555,169.00555555555556,176.87777777777777
"0,6cu_H.jpg","0,6cu_H.jpg",0.6,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.37777777777777,181.24444444444444,190.52777777777777
"0,6cu_P.jpg","0,6cu_P.jpg",0.6,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.9611111111111,184.86666666666667,192.2722222222222
"0,7cu_H.jpg","0,7cu_H.jpg",0.7,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,203.2888888888889,187.93333333333334,194.7111111111111
"0,7cu_P.jpg","0,7cu_P.jpg",0.7,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.21666666666667,183.86666666666667,190.86666666666667
"0,8cu_H.jpg","0,8cu_H.jpg",0.8,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,207.7,193.23333333333332,198.9388888888889
"0,8cu_P.jpg","0,8cu_P.jpg",0.8,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,196.8111111111111,181.68333333333334,186.02777777777777
"0,9cu_H.jpg","0,9cu_H.jpg",0.9,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,204.8111111111111,192.4611111111111,197.05
"0,9cu_P.jpg","0,9cu_P.jpg",0.9,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.88333333333333,182.30555555555554,186.56666666666666
0cu(1)_H.jpg,0cu(1)_H.jpg,0,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.91666666666666,176.9,193.28333333333333
0cu(1)_P.jpg,0cu(1)_P.jpg,0,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,191.29444444444445,170.2,184.08333333333334
0cu(10)_H3P.jpg,0cu(10)_H3P.jpg,0,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,206.8111111111111,183.88888888888889,199.86666666666667
0cu(10)_H4P.jpg,0cu(10)_H4P.jpg,0,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,207.88333333333333,182.13333333333333,200.87777777777777
0cu(10)_P4P.jpg,0cu(10)_P4P.jpg,0,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,190.50555555555556,166.98888888888888,184.25
0cu(100)_H3P.jpg,0cu(100)_H3P.jpg,0,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,206.17777777777778,183.4611111111111,198.90555555555557
0cu(100)_H4P.jpg,0cu(100)_H4P.jpg,0,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,183.42777777777778,166.2111111111111,177.4
